com"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_via","company_name"
386831,"Senior AI Engineer","United Kingdom","Full-time","182325.0","2023-12-01 18:17:53","via Ai-Jobs.net","Rapid7"
1401033,"Market Data Lead Analyst","United Kingdom","Full-time","180000.0","2023-11-10 08:32:22","via Ai-Jobs.net","Deutsche Bank"
659694,"Senior Data Scientist - 9 month FTC","United Kingdom","Contractor","170575.0","2023-10-30 09:13:02","via Ai-Jobs.net","Sky"
1415565,"Senior Data Scientist - AI/ML","United Kingdom","Full-time","170500.0","2023-12-27 17:36:12","via Ai-Jobs.net","Novo Nordisk"
31795,"Analytics Engineer - Data Engineer","United Kingdom","Full-time","165000.0","2023-10-19 09:37:02","via Ai-Jobs.net","Deliveroo"
686175,"Analytics Engineer","United Kingdom","Full-time","165000.0","2023-10-19 18:37:07","via Ai-Jobs.net","Deliveroo"
1419617,"Threat Analytics Data Scientist","United Kingdom","Full-time","163525.0","2023-12-08 16:15:29","via Ai-Jobs.net","Deutsche Bank"
947634,"GIS Data Scientist (Active Intelligence)","United Kingdom","Full-time","162000.0","2023-12-30 09:13:05","via Ai-Jobs.net","BT Group"
1747302,"Senior Geoscience Data Scientist","United Kingdom","Full-time","157500.0","2023-05-27 11:13:30","via Ai-Jobs.net","CGG"
148245,"Senior Geoscience Data Scientist","United Kingdom","Full-time","157500.0","2023-01-21 10:21:11","via Ai-Jobs.net","CGG"
285846,"Staff Data Engineer (Kafka)","United Kingdom","Full-time","156500.0","2023-10-30 17:12:47","via Ai-Jobs.net","Snyk"
1813715,"Data Architect - Trading and Supply","United Kingdom","Full-time","156500.0","2023-11-08 19:33:50","via Ai-Jobs.net","Shell"
92944,"Senior Data Engineer (Viator)","United Kingdom","Full-time","155904.5","2023-11-24 14:14:46","via Ai-Jobs.net","TripAdvisor"
1478322,"Data Engineer","United Kingdom","Full-time and Part-time","146384.5","2023-11-08 15:34:52","via Ai-Jobs.net","Thales"
940696,"Data Engineer","United Kingdom","Full-time","133000.0","2023-02-09 11:33:38","via Ai-Jobs.net","dentsu international"
697052,"Lead Data Engineer","United Kingdom","Full-time","131580.0","2023-01-12 14:38:53","via Ai-Jobs.net","Salary Finance"
129369,"Data Scientist","United Kingdom","Full-time","128000.0","2023-11-06 15:06:39","via Ai-Jobs.net","Philips"
694461,"Sr Data Analyst","United Kingdom","Full-time","118140.0","2023-12-22 08:12:30","via Ai-Jobs.net","Hasbro"
351872,"Reference Data Specialist","United Kingdom","Full-time","109500.0","2023-03-24 12:22:31","via Ai-Jobs.net","Nielsen"
377642,"Fraud Data Analyst","United Kingdom","Full-time and Part-time","109000.0","2023-11-11 23:13:05","via Ai-Jobs.net","esure Group"
793671,"Technical Co-Founder - Data Science (Ogma)","United Kingdom","Full-time","105300.0","2023-09-19 15:54:12","via Ai-Jobs.net","Founders Factory"
1315562,"Project Data Analyst - Operational Excellence","United Kingdom","Full-time","105000.0","2023-07-04 12:16:00","via Ai-Jobs.net","Syngenta Group"
407287,"MUFG 2024 UK Technology Analyst Programme: Architecture...","United Kingdom","Full-time","89100.0","2023-11-02 21:17:04","via Ai-Jobs.net","MUFG"
150907,"Senior Scientist, Computational Biology","United Kingdom","Full-time","89100.0","2023-02-06 19:17:32","via Ai-Jobs.net","Flagship Pioneering, Inc."
985232,"Global IT Data Analytics Solutions Expert","United Kingdom","Full-time","86400.0","2023-12-15 22:13:28","via Ai-Jobs.net","Campari Group"
74837,"Senior Specialist - Data Management","United Kingdom","Full-time","86400.0","2023-11-29 13:14:16","via Ai-Jobs.net","Marsh McLennan"
